,language_name,language_creator,conlang_status,conlang_type,language_creator_profile,language_conlang_profile
0, Fuzzitan,Majicturtol,New,Proto-Conlang,http://conworkshop.info/view_profile.php?m=S6901781354,http://conworkshop.info/view_language.php?l=UOE
1,&apos;DraUz,Dolfyn,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S6211260331,http://conworkshop.info/view_language.php?l=DRZ
2,&apos;Sor-Sar&apos;,Hanian,New,Other,http://conworkshop.info/view_profile.php?m=S1130047674,http://conworkshop.info/view_language.php?l=ZOR
3,(Desert) Elvish,Cestion,Functional,A priori,http://conworkshop.info/view_profile.php?m=S3836918158,http://conworkshop.info/view_language.php?l=EL2
4,(English Name Not Created Yet),mayxuli,New,A priori,http://conworkshop.info/view_profile.php?m=S1139263864,http://conworkshop.info/view_language.php?l=SJT
5,(Gendered) Equestrian,RomajiMiltonAmul,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S7743546052,http://conworkshop.info/view_language.php?l=GEQ
6,(no name yet),Kougo,New,A priori,http://conworkshop.info/view_profile.php?m=641424969327301,http://conworkshop.info/view_language.php?l=A12
7,(None Yet),Hoshi Sato,On hold,A priori,http://conworkshop.info/view_profile.php?m=S6694370288,http://conworkshop.info/view_language.php?l=OAE
8,(Not Named Yet),solrigg,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9620924459,http://conworkshop.info/view_language.php?l=GL1
9,(TBD),Brijsven,Progressing,Not specified,http://conworkshop.info/view_profile.php?m=S7751540949,http://conworkshop.info/view_language.php?l=NNL
10,--,språk,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S8589964257,http://conworkshop.info/view_language.php?l=RSA
11,--,otallis,New,Mixed,http://conworkshop.info/view_profile.php?m=S7050779925,http://conworkshop.info/view_language.php?l=UKI
12,---,BleuPomme,New,International Auxiliary Language (IAL),http://conworkshop.info/view_profile.php?m=S9095188418,http://conworkshop.info/view_language.php?l=INO
13,4Phonemes,Idkgamer,New,Engineered Language (Englang),http://conworkshop.info/view_profile.php?m=S3289182509,http://conworkshop.info/view_language.php?l=TPH
14,9 Phonemes,sphi,New,Not specified,http://conworkshop.info/view_profile.php?m=S4321753434,http://conworkshop.info/view_language.php?l=NPQ
15,?,Cake,New,A priori,http://conworkshop.info/view_profile.php?m=S9964359869,http://conworkshop.info/view_language.php?l=ABE
16,A Lar,Serj Brattich,New,Not specified,http://conworkshop.info/view_profile.php?m=778839391,http://conworkshop.info/view_language.php?l=ALR
17,A&apos;ani,sinarby,Progressing,Engineered Language (Englang),http://conworkshop.info/view_profile.php?m=S9381844338,http://conworkshop.info/view_language.php?l=ANI
18,Aaaaaa,Yenny,New,Joke language,http://conworkshop.info/view_profile.php?m=S2151274530,http://conworkshop.info/view_language.php?l=AAA
19,Aaawèèèj,Camera244,New,A priori,http://conworkshop.info/view_profile.php?m=S8823606187,http://conworkshop.info/view_language.php?l=AAE
20,Aabtiqaunish,CompiledFile,New,Proto-Conlang,http://conworkshop.info/view_profile.php?m=S9930626056,http://conworkshop.info/view_language.php?l=DAB
21,Aalvunian Luwkeean,Tàmhas Mac,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S3412104367,http://conworkshop.info/view_language.php?l=LGH
22,Aarvesan,Williammag,New,Not specified,http://conworkshop.info/view_profile.php?m=S6568962297,http://conworkshop.info/view_language.php?l=AAR
23,Aastoyakap,ORW31770,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S4186017729,http://conworkshop.info/view_language.php?l=QAA
24,Aán,Viktor Stamyr,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=100000784091013,http://conworkshop.info/view_language.php?l=AOA
25,Aûtaen,Jared J Fleming,New,Proto-Conlang,http://conworkshop.info/view_profile.php?m=S0362237553,http://conworkshop.info/view_language.php?l=A93
26,Abashe,Brandon,New,A priori,http://conworkshop.info/view_profile.php?m=S4449601578,http://conworkshop.info/view_language.php?l=ABS
27,Abea,chachivavi,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S6890847117,http://conworkshop.info/view_language.php?l=ABB
28,Abern,aver,New,A priori,http://conworkshop.info/view_profile.php?m=S4779034971,http://conworkshop.info/view_language.php?l=ABR
29,Aboshi,Soratori42,New,A priori,http://conworkshop.info/view_profile.php?m=S7431582642,http://conworkshop.info/view_language.php?l=ABI
30,Abouven,Aesc Earle,Progressing,A priori,http://conworkshop.info/view_profile.php?m=534869540009915,http://conworkshop.info/view_language.php?l=ABV
31,Abtec,JDLENL,New,A posteriori,http://conworkshop.info/view_profile.php?m=S6348071826,http://conworkshop.info/view_language.php?l=APT
32,Abyssal,meganeslimegirl,New,Not specified,http://conworkshop.info/view_profile.php?m=S0321442560,http://conworkshop.info/view_language.php?l=AL0
33,Acadian,VT45,Functional,Mixed,http://conworkshop.info/view_profile.php?m=S0079730712,http://conworkshop.info/view_language.php?l=ACD
34,Achiyitqan,severy,Functional,A priori,http://conworkshop.info/view_profile.php?m=S1477139194,http://conworkshop.info/view_language.php?l=ACY
35,Achurem,xijtsjis,New,A posteriori,http://conworkshop.info/view_profile.php?m=S5944729951,http://conworkshop.info/view_language.php?l=ACR
36,Acorithe,Lunar Cullup,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=1802656116659634,http://conworkshop.info/view_language.php?l=ACO
37,Acrosode,leisureTea,New,Not specified,http://conworkshop.info/view_profile.php?m=S8136038291,http://conworkshop.info/view_language.php?l=ACS
38,Adamaic,Slavonicus,New,Engineered Language (Englang),http://conworkshop.info/view_profile.php?m=S4423668955,http://conworkshop.info/view_language.php?l=ADM
39,Adenish,Castillerian,Functional,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S3285114355,http://conworkshop.info/view_language.php?l=WMN
40,Adrish,Amayaa002,Progressing,Other,http://conworkshop.info/view_profile.php?m=S5866629549,http://conworkshop.info/view_language.php?l=CSJ
41,Adzamasi,severy,New,A posteriori,http://conworkshop.info/view_profile.php?m=S1477139194,http://conworkshop.info/view_language.php?l=ADZ
42,Aegean Garnelic,Benjaminmb,New,A posteriori,http://conworkshop.info/view_profile.php?m=S2693611022,http://conworkshop.info/view_language.php?l=GCA
43,Aelain Elvish,Venragosa,New,A posteriori,http://conworkshop.info/view_profile.php?m=S5672832777,http://conworkshop.info/view_language.php?l=ALV
44,Aelic,HSCook,New,Proto-Conlang,http://conworkshop.info/view_profile.php?m=10209011442228472,http://conworkshop.info/view_language.php?l=AEL
45,Aelspauk,owain2002,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S3273076263,http://conworkshop.info/view_language.php?l=ASP
46,Aemaebwaeng,orangefriedegg,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S5676175738,http://conworkshop.info/view_language.php?l=MBW
47,Aemus,luisarm,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S0692357121,http://conworkshop.info/view_language.php?l=AUM
48,Aendwith,George Swan,New,A priori,http://conworkshop.info/view_profile.php?m=100001769482096,http://conworkshop.info/view_language.php?l=AED
49,Aeqyne,K3aschas,New,Engineered Language (Englang),http://conworkshop.info/view_profile.php?m=S4441975357,http://conworkshop.info/view_language.php?l=AEQ
50,Aerish,McKKai,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S8970486236,http://conworkshop.info/view_language.php?l=KAI
51,Aerovanthi,Eirdrien,New,A priori,http://conworkshop.info/view_profile.php?m=S7699548720,http://conworkshop.info/view_language.php?l=AER
52,Aethi,Ithirahad,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S8206328634,http://conworkshop.info/view_language.php?l=AET
53,Aevic,FeatheredMask,New,Not specified,http://conworkshop.info/view_profile.php?m=S2467676118,http://conworkshop.info/view_language.php?l=AEV
54,Aeyakaimic,KoninkrijkC,New,A priori,http://conworkshop.info/view_profile.php?m=S0269845321,http://conworkshop.info/view_language.php?l=EEI
55,Aezint,Davellan,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S1038632090,http://conworkshop.info/view_language.php?l=EZN
56,Agadalic,isaak,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9039600189,http://conworkshop.info/view_language.php?l=AGE
57,Agadelic,isaak,Functional,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9039600189,http://conworkshop.info/view_language.php?l=GDA
58,Agadelic,isaak,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9039600189,http://conworkshop.info/view_language.php?l=AGD
59,Agaiyan,Eija,Progressing,Not specified,http://conworkshop.info/view_profile.php?m=S4033251876,http://conworkshop.info/view_language.php?l=HAG
60,Agani,ategua,New,A priori,http://conworkshop.info/view_profile.php?m=S8540432406,http://conworkshop.info/view_language.php?l=AGB
61,Agarabi Clone,dendana,New,Other,http://conworkshop.info/view_profile.php?m=S1022175333,http://conworkshop.info/view_language.php?l=AGA
62,Agdaranzi,YoruFeisu,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S2988498504,http://conworkshop.info/view_language.php?l=AGR
63,Agfruagran,Qqphandin,Progressing,Mixed,http://conworkshop.info/view_profile.php?m=S1106810894,http://conworkshop.info/view_language.php?l=AGF
64,Aghidi,Gazelle,New,A priori,http://conworkshop.info/view_profile.php?m=S4507420562,http://conworkshop.info/view_language.php?l=AGH
65,Aghishi,TurkicDragon,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S2752292288,http://conworkshop.info/view_language.php?l=KOC
66,Agiragian,ReIncidence,New,A priori,http://conworkshop.info/view_profile.php?m=S2411915943,http://conworkshop.info/view_language.php?l=RGI
67,Agroppidan,Benjaminmb,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S2693611022,http://conworkshop.info/view_language.php?l=AGP
68,Ahenadal,Vimes,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S7588800356,http://conworkshop.info/view_language.php?l=NDL
69,Ahepitian,HannieCircles,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S1238398249,http://conworkshop.info/view_language.php?l=F4L
70,Ahmadian Saasian,Ahmad Sameeh Massalha,New,Mixed,http://conworkshop.info/view_profile.php?m=1011644861,http://conworkshop.info/view_language.php?l=SAS
71,Ahoreni,Ai No Uta,New,A priori,http://conworkshop.info/view_profile.php?m=S6092750140,http://conworkshop.info/view_language.php?l=HWY
72,Aiarr,warrook,New,Mixed,http://conworkshop.info/view_profile.php?m=S9610452655,http://conworkshop.info/view_language.php?l=EVA
73,Ailyxian,GohtCheee,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S5988584777,http://conworkshop.info/view_language.php?l=LXN
74,Ainxa,EpikFrog,New,A priori,http://conworkshop.info/view_profile.php?m=S2252678360,http://conworkshop.info/view_language.php?l=ANX
75,Aiopish,ashleecutie,On hold,Mixed,http://conworkshop.info/view_profile.php?m=S5630081231,http://conworkshop.info/view_language.php?l=AIV
76,Airenes,Marlowe Clark,Progressing,Mixed,http://conworkshop.info/view_profile.php?m=100001893218553,http://conworkshop.info/view_language.php?l=ARN
77,Airslian,TheMópe,Progressing,A priori,http://conworkshop.info/view_profile.php?m=1179077645509449,http://conworkshop.info/view_language.php?l=AAB
78,Ajatsian,hamalane,Progressing,Other,http://conworkshop.info/view_profile.php?m=S7378507175,http://conworkshop.info/view_language.php?l=AJA
79,Ajeng,LawOfTheSeas,New,Not specified,http://conworkshop.info/view_profile.php?m=S0135490254,http://conworkshop.info/view_language.php?l=AJE
80,Ajeric,Josetheidiot,New,A posteriori,http://conworkshop.info/view_profile.php?m=S6405390026,http://conworkshop.info/view_language.php?l=AJZ
81,Akarat,UniBlackSister,New,A priori,http://conworkshop.info/view_profile.php?m=S6411814634,http://conworkshop.info/view_language.php?l=XAA
82,Akashaay,Theodor Manole,New,Not specified,http://conworkshop.info/view_profile.php?m=510356995792076,http://conworkshop.info/view_language.php?l=AKX
83,Akenian,Skye Koons,New,A priori,http://conworkshop.info/view_profile.php?m=100002506424343,http://conworkshop.info/view_language.php?l=CAC
84,Akesa,Owlish,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S2193628371,http://conworkshop.info/view_language.php?l=428
85,Akhb't,jhstudios9,New,A posteriori,http://conworkshop.info/view_profile.php?m=S0424374124,http://conworkshop.info/view_language.php?l=ABH
86,Akhwai'u,neviche,New,A priori,http://conworkshop.info/view_profile.php?m=S3690024739,http://conworkshop.info/view_language.php?l=AKU
87,Akiba,Dale ,New,A priori,http://conworkshop.info/view_profile.php?m=S3936909939,http://conworkshop.info/view_language.php?l=AKY
88,Akmardtian,GreatOverseer,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9308312149,http://conworkshop.info/view_language.php?l=DRJ
89,Akoan,El Qonkistador,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9688188059,http://conworkshop.info/view_language.php?l=AAK
90,Akothsu,GreatOverseer,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9308312149,http://conworkshop.info/view_language.php?l=AKT
91,Akrigo,tommyroyall,New,A posteriori,http://conworkshop.info/view_profile.php?m=S0535420353,http://conworkshop.info/view_language.php?l=AKR
92,"Akuriga, Proto-Akurigan",qwed117,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S6923074441,http://conworkshop.info/view_language.php?l=AKG
93,Akush,Curlyhairy,Progressing,Logical Language (Loglang),http://conworkshop.info/view_profile.php?m=S4731468752,http://conworkshop.info/view_language.php?l=WEK
94,Akuveth,xijtsjis,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S5944729951,http://conworkshop.info/view_language.php?l=QKV
95,Al-Kult,Zoreckr,New,Not specified,http://conworkshop.info/view_profile.php?m=S7855631048,http://conworkshop.info/view_language.php?l=KUL
96,Alahithian,ol bofosh,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S8277007021,http://conworkshop.info/view_language.php?l=ALH
97,Alaric,FoxxDogg,New,A priori,http://conworkshop.info/view_profile.php?m=S4193656145,http://conworkshop.info/view_language.php?l=AEI
98,Alarin,Sávio Santos Gusmão,New,A priori,http://conworkshop.info/view_profile.php?m=1469120950063241,http://conworkshop.info/view_language.php?l=ALA
99,Albanaculan,Jollygators,New,A posteriori,http://conworkshop.info/view_profile.php?m=S7938200349,http://conworkshop.info/view_language.php?l=ACI
100,Albisj,fantomatrol15,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S2672265394,http://conworkshop.info/view_language.php?l=ALB
101,Alchemayne,Themasteroflol,New,A priori,http://conworkshop.info/view_profile.php?m=S8373331608,http://conworkshop.info/view_language.php?l=LCM
102,Alcin,Andrew Clarke Hollomon,Functional,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=985373868274272,http://conworkshop.info/view_language.php?l=AEK
103,Aldmeris,RomanNumeralII,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S2628069628,http://conworkshop.info/view_language.php?l=ALM
104,Aleña,aschiffer186,New,A posteriori,http://conworkshop.info/view_profile.php?m=S9518361793,http://conworkshop.info/view_language.php?l=LNA
105,Alfinu,Ashucky,New,A posteriori,http://conworkshop.info/view_profile.php?m=S0656497066,http://conworkshop.info/view_language.php?l=QAL
106,Alfjorn,ravenDivinity,Progressing,A priori,http://conworkshop.info/view_profile.php?m=616523855201830,http://conworkshop.info/view_language.php?l=AFJ
107,Algadori-Korlsani,pittman789,New,A posteriori,http://conworkshop.info/view_profile.php?m=S1428786452,http://conworkshop.info/view_language.php?l=MLO
108,Algaz,Yrieix Groulx,New,A priori,http://conworkshop.info/view_profile.php?m=S7658770343,http://conworkshop.info/view_language.php?l=AGZ
109,Alhë,pencels,New,A priori,http://conworkshop.info/view_profile.php?m=S6302975496,http://conworkshop.info/view_language.php?l=AL3
110,Alicanthan,Maelan,New,Not specified,http://conworkshop.info/view_profile.php?m=S6887538375,http://conworkshop.info/view_language.php?l=LIC
111,Alicksa,asdrop,New,Creole,http://conworkshop.info/view_profile.php?m=100001724414340,http://conworkshop.info/view_language.php?l=UVN
112,Aligian,argyle,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S3566640140,http://conworkshop.info/view_language.php?l=ALG
113,Alinian,Rob Varty,New,Not specified,http://conworkshop.info/view_profile.php?m=10205834475754863,http://conworkshop.info/view_language.php?l=AIL
114,Alish,Boredy,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S4543355297,http://conworkshop.info/view_language.php?l=UEL
115,Alitii,MaytheCat,New,Not specified,http://conworkshop.info/view_profile.php?m=S7256216092,http://conworkshop.info/view_language.php?l=ALI
116,Allagaetaeks,Mezv,Progressing,Mixed,http://conworkshop.info/view_profile.php?m=S1316407276,http://conworkshop.info/view_language.php?l=ALE
117,Allarian,Robyn Kolozsvari,New,A priori,http://conworkshop.info/view_profile.php?m=1234840906536672,http://conworkshop.info/view_language.php?l=LAR
118,Alleirai,gunmetalcrown,New,A posteriori,http://conworkshop.info/view_profile.php?m=S4819878450,http://conworkshop.info/view_language.php?l=RJA
119,Allian,Mucc,New,Creole,http://conworkshop.info/view_profile.php?m=S9325775156,http://conworkshop.info/view_language.php?l=ARR
120,Allinechi,iodalach93,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S0796128706,http://conworkshop.info/view_language.php?l=ALC
121,Almadyom,∑igma,New,Not specified,http://conworkshop.info/view_profile.php?m=S1922608682,http://conworkshop.info/view_language.php?l=WAD
122,Almaran,theoracle,Progressing,Other,http://conworkshop.info/view_profile.php?m=S5439520260,http://conworkshop.info/view_language.php?l=LMA
123,Almavuj,Enae,New,Not specified,http://conworkshop.info/view_profile.php?m=S9779275668,http://conworkshop.info/view_language.php?l=AMV
124,Almerid,Normandy,New,A posteriori,http://conworkshop.info/view_profile.php?m=S7894144200,http://conworkshop.info/view_language.php?l=AAL
125,Aloynese,Aandeg Muldrew,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=491716241015445,http://conworkshop.info/view_language.php?l=ALO
126,Alphabetese,dendana,New,Other,http://conworkshop.info/view_profile.php?m=S1022175333,http://conworkshop.info/view_language.php?l=ZYX
127,Alpine Roman,Alex,New,Not specified,http://conworkshop.info/view_profile.php?m=S7731419994,http://conworkshop.info/view_language.php?l=ARM
128,Alponic,Romenna,New,A priori,http://conworkshop.info/view_profile.php?m=S8361410496,http://conworkshop.info/view_language.php?l=APO
129,Alps Turkish,Aslan,New,A posteriori,http://conworkshop.info/view_profile.php?m=S9561049327,http://conworkshop.info/view_language.php?l=SFS
130,AlQæSe,sadiemydog,New,A priori,http://conworkshop.info/view_profile.php?m=S2065652099,http://conworkshop.info/view_language.php?l=ALQ
131,Alrean,JKK1111,New,Not specified,http://conworkshop.info/view_profile.php?m=S9087941876,http://conworkshop.info/view_language.php?l=ERU
132,Alscope,Gonedridge,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S7225296808,http://conworkshop.info/view_language.php?l=999
133,Altáno,El Qonkistador,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9688188059,http://conworkshop.info/view_language.php?l=IYE
134,Altchunian,JonathanWalton,New,A priori,http://conworkshop.info/view_profile.php?m=S6969578851,http://conworkshop.info/view_language.php?l=QWD
135,Alternian,dooooooooc,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S5700406897,http://conworkshop.info/view_language.php?l=ALN
136,Altian,anwest2013,New,Mixed,http://conworkshop.info/view_profile.php?m=S3710348569,http://conworkshop.info/view_language.php?l=ALT
137,Altine,verner3,New,A priori,http://conworkshop.info/view_profile.php?m=S2020253108,http://conworkshop.info/view_language.php?l=ATI
138,Altomarine,TheKitKatProject,New,A posteriori,http://conworkshop.info/view_profile.php?m=10203245341334111,http://conworkshop.info/view_language.php?l=AAM
139,Altryten,W32Coravint,New,Not specified,http://conworkshop.info/view_profile.php?m=S7689470214,http://conworkshop.info/view_language.php?l=KTM
140,Altyxian,W32Coravint,On hold,A posteriori,http://conworkshop.info/view_profile.php?m=S7689470214,http://conworkshop.info/view_language.php?l=ATX
141,Alute,Ash Beodel,On hold,A priori,http://conworkshop.info/view_profile.php?m=S4943496707,http://conworkshop.info/view_language.php?l=ALU
142,Alvac,rtw11,New,Mixed,http://conworkshop.info/view_profile.php?m=S9101318365,http://conworkshop.info/view_language.php?l=AVG
143,Alvisk,Vandrelysten,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S8740850106,http://conworkshop.info/view_language.php?l=ONE
144,Alzen,ategua,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S8540432406,http://conworkshop.info/view_language.php?l=ZLL
145,Amaian,dendana,New,A priori,http://conworkshop.info/view_profile.php?m=S1022175333,http://conworkshop.info/view_language.php?l=AMA
146,Amalaki,Binno,New,Not specified,http://conworkshop.info/view_profile.php?m=S9331071371,http://conworkshop.info/view_language.php?l=3MK
147,Amayed,Amayaa002,New,International Auxiliary Language (IAL),http://conworkshop.info/view_profile.php?m=S5866629549,http://conworkshop.info/view_language.php?l=AMD
148,Amazon,Alcazar,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S2860526698,http://conworkshop.info/view_language.php?l=AMZ
149,Ame Language,UniBlackSister,Progressing,Mixed,http://conworkshop.info/view_profile.php?m=S6411814634,http://conworkshop.info/view_language.php?l=AMX
150,American,Lenin-kun,New,A posteriori,http://conworkshop.info/view_profile.php?m=S2875258221,http://conworkshop.info/view_language.php?l=AMC
151,Amestrian,EnvyTheJelly,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S2611424553,http://conworkshop.info/view_language.php?l=AMS
152,Ametdantar,Marlowe Clark,Progressing,A priori,http://conworkshop.info/view_profile.php?m=100001893218553,http://conworkshop.info/view_language.php?l=AMT
153,Ammaric,LawOfTheSeas,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S0135490254,http://conworkshop.info/view_language.php?l=MMC
154,Amorese,Julgat,New,Proto-Conlang,http://conworkshop.info/view_profile.php?m=S9032585909,http://conworkshop.info/view_language.php?l=RIO
155,Amphibilang,ol bofosh,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S8277007021,http://conworkshop.info/view_language.php?l=AMP
156,Amrikan,DarcX,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S1712269985,http://conworkshop.info/view_language.php?l=AMK
157,Amsri&apos;e,Julia Rabelo da Cunha,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=1123933964350054,http://conworkshop.info/view_language.php?l=ASR
158,An Adzamic Language,UniBlackSister,New,A priori,http://conworkshop.info/view_profile.php?m=S6411814634,http://conworkshop.info/view_language.php?l=XAZ
159,Anapsitikώξ,Osmio Enapolitichì,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=341271649572119,http://conworkshop.info/view_language.php?l=ANP
160,Anari,Isit,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S5439746689,http://conworkshop.info/view_language.php?l=ARI
161,Anathic,Fiore,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9230533336,http://conworkshop.info/view_language.php?l=ANA
162,Anbidian,Sketchyzef,New,Mixed,http://conworkshop.info/view_profile.php?m=S6159067046,http://conworkshop.info/view_language.php?l=ABD
163,Ancient,qhea,New,Proto-Conlang,http://conworkshop.info/view_profile.php?m=S9360820414,http://conworkshop.info/view_language.php?l=ANC
164,Ancient Asuran,MrHedmad,New,Logical Language (Loglang),http://conworkshop.info/view_profile.php?m=S6831236226,http://conworkshop.info/view_language.php?l=ASU
165,Ancient Khaa,El Qonkistador,New,Not specified,http://conworkshop.info/view_profile.php?m=S9688188059,http://conworkshop.info/view_language.php?l=AKH
166,Ancient Koboli,vaqari,Progressing,Proto-Conlang,http://conworkshop.info/view_profile.php?m=S9489281610,http://conworkshop.info/view_language.php?l=K20
167,Ancient Language,GohtCheee,New,A priori,http://conworkshop.info/view_profile.php?m=S5988584777,http://conworkshop.info/view_language.php?l=GRH
168,Ancient Methinat,KathTheDragon,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=100004330242348,http://conworkshop.info/view_language.php?l=MST
169,Ancient Vingrian,Kyrtch,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S2940780955,http://conworkshop.info/view_language.php?l=AXC
170,Ancient Vitran,Uzhdarchios,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S2539913786,http://conworkshop.info/view_language.php?l=VTA
171,Andalucian,Curlyhairy,New,Creole,http://conworkshop.info/view_profile.php?m=S4731468752,http://conworkshop.info/view_language.php?l=ADC
172,Andebian,xroooox,New,Not specified,http://conworkshop.info/view_profile.php?m=S7890394293,http://conworkshop.info/view_language.php?l=ADB
173,Andekrija,Andekrija,New,A priori,http://conworkshop.info/view_profile.php?m=S9807652711,http://conworkshop.info/view_language.php?l=AKS
174,Andusoan,AquisM,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S4562356740,http://conworkshop.info/view_language.php?l=ANU
175,Andvig,Alethea,Progressing,Not specified,http://conworkshop.info/view_profile.php?m=S1122358079,http://conworkshop.info/view_language.php?l=AND
176,Angfalen,Marlowe Clark,New,A priori,http://conworkshop.info/view_profile.php?m=100001893218553,http://conworkshop.info/view_language.php?l=ANF
177,Anglais,fantomatrol15,New,A posteriori,http://conworkshop.info/view_profile.php?m=S2672265394,http://conworkshop.info/view_language.php?l=AGL
178,Anglian,Eija,Abandoned,A posteriori,http://conworkshop.info/view_profile.php?m=S4033251876,http://conworkshop.info/view_language.php?l=AEN
179,Anglobulz,Тодор Николов,New,Mixed,http://conworkshop.info/view_profile.php?m=10154274149047322,http://conworkshop.info/view_language.php?l=BUH
180,Anglohic,Susanna Hickman,Progressing,Not specified,http://conworkshop.info/view_profile.php?m=100006847747213,http://conworkshop.info/view_language.php?l=H11
181,Anglois,godofgingers,New,A posteriori,http://conworkshop.info/view_profile.php?m=S9270569705,http://conworkshop.info/view_language.php?l=ANG
182,Angloslav,Dane Dodd,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=279325875743544,http://conworkshop.info/view_language.php?l=AXS
183,Angos,Ben Wood,Functional,International Auxiliary Language (IAL),http://conworkshop.info/view_profile.php?m=635164619,http://conworkshop.info/view_language.php?l=AOS
184,Animatronish,TheMysteri,New,A posteriori,http://conworkshop.info/view_profile.php?m=S1416688593,http://conworkshop.info/view_language.php?l=ANM
185,Aninterite,Chalk,Abandoned,Mixed,http://conworkshop.info/view_profile.php?m=S8656126298,http://conworkshop.info/view_language.php?l=ANT
186,Anjelkish,Manuel Hurtado,New,A priori,http://conworkshop.info/view_profile.php?m=10210667523184336,http://conworkshop.info/view_language.php?l=ANJ
187,Annaban,Kynneyable,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S6018084867,http://conworkshop.info/view_language.php?l=ANB
188,Anshee,ashleecutie,New,Not specified,http://conworkshop.info/view_profile.php?m=S5630081231,http://conworkshop.info/view_language.php?l=AXI
189,Ansish,oleander,New,A priori,http://conworkshop.info/view_profile.php?m=S0126377367,http://conworkshop.info/view_language.php?l=HNS
190,Antarctic,Pfifltrigg Pi,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S6771168778,http://conworkshop.info/view_language.php?l=SRL
